source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"Warrington is a large town, borough and unitary authority area of Cheshire, England.",Warrington ist eine Stadt in England.,Warrington是英格兰Cheshire的大城镇、区和统一权力区。,"Warrington is the major town, district and unified authority of Cheshire, England.",Warrington is a city in England.
"The province has an area of 3,125 km ² which is divided into eight administrative districts (arrondissementen) containing 64 municipalities.",Die Provinzfläche von 3.125 km 2 ist in acht Bezirke unterteilt und umfasst 64 Gemeinden.,"该省面积为3,125平方公里,由8个区组成,有64个城镇。","The province covers an area of 3,125 square kilometres and consists of eight districts and 64 towns.","==Geography==According to the U.S. Census Bureau, the county has a total area of, of which is land and (0.3%) is water."
"Helene transitioned into a ""hybrid"" storm with both tropical and extratropical characteristics that afternoon, with both a deep warm core and an asymmetric, frontal-like appearance.","Helene bildete sich zu einem hybriden Sturm. Ein hybrider Sturm hat tropische und extratropische Eigenschaften. Helene's frontale Erscheinung war schief, aber der Kern war warm.","海伦具有热带和热带外的特点,混合风暴具有温暖的核心和不对称的外表。","Helen has tropical and extratropical characteristics, and mixed storms have warm cores and asymmetric appearances.","Helene formed a hybrid storm. A hybrid storm has tropical and extratropical characteristics. Helene's frontal appearance was crooked, but the core was warm."
Some indigenous groups living in palm-rich areas use palms to make many of their necessary items and food.,"Einige indigene Gruppen verwenden Palmen, um Gegenstände und Nahrung zu schaffen.","一些土著群体生活在许多棕榈树的地区,他们用棕榈树作为许多必需品。","Some indigenous groups live in areas with many palm trees, which they use as essential supplies.",Some indigenous groups use palm trees to create objects and food.
It has a shaving head consisting of cutters that cut off the hair entering the head of the razor at skin level.,"Es hat einen Rasierkopf, der das Haar abschneidet, das den Kopf des Rasiermessers auf Hautebene betritt.",它的剃毛头剪掉 进入剃刀头的头发 皮肤水平。,It's shaved and cut off into the hair of the razor's head at the skin level.,It has a razor head that cuts off the hair that enters the head of the razor at the skin level.
"Bartolo believes that the Count has been arrested, but Almaviva only has to mention his name to the officer to be released.","Bartolo glaubt, dass der Graf verhaftet wurde. Almaviva muss nur seinen Namen dem zu entlassenden Offizier nennen.",巴托洛相信伯爵已经被捕了 Almaviva只要向要释放的警官提起他的名字就行了,Bartolo believes the Count has been arrested.,Bartolo believes that the Count has been arrested. Almaviva has only to name his name to the officer to be dismissed.
"Apparently after her death, Shah Jahan went into secluded mourning for a year.",Shah Jahan ging für ein Jahr in abgeschiedene Trauer.,"她死后,Shah Jahan独自一人哀悼了一年。","After her death, Shah Jahan mourned for a year alone.",Shah Jahan went into isolated mourning for a year.
"Since its creation, the distribution has become very different from Slackware in most regards while still maintaining compatibility with its binary packages.",Die Distribution hat sich sehr von Slackware seit seiner Einführung in den meisten Weisen unter Beibehaltung der Konsistenz mit seinen binären Produkten.,"自建立以来,该系统在大部分方面已经与Slakeware截然不同。它仍然支持它与其二进制软件包兼容。","Since its inception, the system has been very different in most respects from Slakeware. It still supports its compatibility with its binary software package.",The distribution has grown very much from Slackware since its introduction in most ways while maintaining consistency with its binary products.
"It started as an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998.","Das Rennen begann 1996, wurde aber aufgrund der wachsenden Beliebtheit des Radsports 1998 Teil der UCI Road World Cup.","它始于1996年,是一个无关紧要的赛事,但由于德国自行车的流行程度迅速提高,它成为1998年UCI世界杯公路赛的一部分。","It began in 1996 as an insignificant event, but as a result of the rapid increase in the prevalence of German bicycles, it became part of the 1998 UCI World Cup road race.","The race started in 1996, but became part of the UCI Road World Cup due to the growing popularity of cycling in 1998."
"However, the mineralogy of the X-type asteroids is not known well enough to constrain this further.","Die Mineralogie der Asteroiden des X-Typs ist nicht genug bekannt, um diese Tatsache zu ermitteln.",X型小行星的矿物学还不足以证明这一点。,The mineralogy of X asteroids is not enough to prove this.,The mineralogy of the X-type asteroids is not known enough to determine this fact.
"The county's elevation decreases toward the east, with the lowest height in the Siret River valley.","Das Land ist im Osten niedriger, der tiefste Punkt ist das Tal des Siret River.","县的海拔向东向下下降,锡雷特河谷的峰值最低。","The heights of the county fell eastward, with the lowest peak in the Silet valley.","The land is lower to the east, the deepest point is the valley of the Siret River."
"Tresca alleged that, before she had disappeared, Poyntz had talked to him about her disgust over Joseph Stalin's Great Terror.","Tresca behauptete, Poyntz habe mit ihm über ihren Abscheu vor Joseph Stalins großem Terror gesprochen, bevor sie verschwunden sei.","特雷斯卡说波恩兹和他谈了她对约瑟夫·斯大林的伟大恐怖的厌恶,这是在她失踪之前的事。","Treska said that Bonz had talked to him about her hatred of Joseph Stalin's great horror, which was before her disappearance.",Tresca claimed that Poyntz spoke to him about her abhorrence of Joseph Stalin's great terror before she disappeared.
"It was founded circa 1958 – 1959 by Malaclypse the Younger with the publication of its principal text, the Principia Discordia.","Es wurde um 1958 von Malaclypse der Jüngere mit der Veröffentlichung seines Haupttextes, der Principia Discordia gegründet.","它于1958年前后由青年Malaclypse创建,出版了其主要文本Principia Discordia。","It was created around 1958 by young man Malaclypse and published its main text, Principia Discordia.","It was founded around 1958 by Malaclypse the Younger with the publication of his main text, Principia Discordia."
"By 2003, the Wi-Fi Alliance announced that WEP had been superseded by Wi-Fi Protected Access (WPA), which was a subset of then upcoming 802.11i amendment.","2003 gab die Wi-Fi Alliance bekannt, dass WEP durch Wi-Fi Protected Access ersetzt worden sei.","到2003年,Wi-Fi联盟说WEP已被Wi-Fi保护使用权(WPA)取代,这是当时即将提出的802.11i修正案的一个子集。","By 2003, the Wi-Fi Coalition stated that WEP had been replaced by Wi-Fi for the protection of tenure (WPA), a subset of the 802.11i amendment that was to be introduced at that time.","In 2003, the Wi-Fi Alliance announced that WEP had been replaced by Wi-Fi Protected Access."
"In Faust's study, the poodle transforms into the devil (Mephistopheles).",Der Pudel verwandelt sich in den Teufel (Mephistopheles) in Fausts Lesesaal.,"在Faust的研究中,小狗变成了恶魔。","In Faust's research, the puppies became demons.",The poodle turns into the devil (Mephistopheles) into Faust's reading room.
"Post-hardcore is a music genre that evolved from hardcore punk, itself an offshoot of the broader punk rock movement.","Post-Hardcore ist ein Musik-Genre, das sich aus Hardcore Punk. Das kommt von der breiteren Punk-Rock-Bewegung.","后重拳是一个音乐流派,由最顽固的朋克人演变而来。它是更广泛的朋克摇滚运动的分支。","It's a musical school, evolved by the most stubborn punks. It's part of a wider punk rock movement.","Post-Hardcore is a music genre that comes from hardcore punk, which comes from the broader punk rock movement."
"N-Dubz are a MOBO award winning hip hop group from London, based around Camden Town.",N-Dubz sind eine MOBO-prämierte Hip-Hop-Gruppe aus London. Sie haben ihren Sitz in Camden Town.,N -Dubz是来自伦敦的跳跳组 他们赢得了MOBO奖,N-Dubz is a jump team from London who won the MOBO Award.,N-Dubz is a London-based MOBO-winning hip hop group based in Camden Town.
"In the 1935 – 36 season, Thompson became the first goaltender to get an assist by intentionally passing the puck with his stick to a fellow player.","Thompson wurde der erste Torhüter, einen Assist zu bekommen, indem er absichtlich den Puck mit seinem Stock zu einem Mitspieler. Dieses Ereignis war in der Saison 1935/36","在1935-36年的季节里,汤普森成为第一个通过用棍棒把球传给其他球员而得分的守门员。","In the 1935-36 season, Thompson became the first goalkeeper to score by passing the ball to other players with a stick.",Thompson became the first goalkeeper to get an assist by deliberately pucking his stick to become a fellow player. This event was in the 1935/36 season.
Tazz defeated Al Snow (5: 20) Tazz forced Snow to submit with the Tazzmission.,Tazz besiegte Al Snow mit der Tazzmission.,"Tazz击败了Al Snow 5比20,Tazz迫使Snow放弃Tazzmission。",Tazz beat Al Snow 5-20 and Tazz forced Snow to give up tazzmission.,Tazz defeated Al Snow with the Tazzmission.
"It is situated in the southeastern part of the state, on the shore of a lake called the Tollensesee (18 km ²).","Sie liegt im südöstlichen Teil des Staates, am Ufer des Tollensesee (18 km2).","它位于该州东南部,位于名为Tollensee(18平方公里)的湖岸。",It is located in the south-east of the state and on the shores of the lake known as Tollensee (18 square kilometres).,"It is located in the southeastern part of the state, on the banks of Lake Tollense (18 km2)."
